timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect;"iter_transactionName";"iter_useCase";"iter_sessionId";"user.email";"iter_zooId";"test.id";"loadProfile.threads"
1691957164272;850;00.00.0.launch;200;OK;Users_ThreadGroup 1-5;text;true;;15882;151;1;1;https://test-api.k6.io/;846;0;678;T.00.00.Launch;null;a84a8874-673b-441d-b7e2-9abe5820dc6d;customer_3_2@ukr.net;null;00_load_2023-08-13;5
1691957164039;850;T.00.00.Launch;200;Number of samples in transaction : 1, number of failing samples : 0;Users_ThreadGroup 1-5;;true;;15882;151;1;1;null;846;287;678;T.00.00.Launch;null;a84a8874-673b-441d-b7e2-9abe5820dc6d;customer_3_2@ukr.net;null;00_load_2023-08-13;5
1691957169042;219;00.01.0.login;200;OK;Users_ThreadGroup 1-5;text;true;;15882;151;1;1;https://test-api.k6.io/;219;0;0;T.0.1.Login;null;a84a8874-673b-441d-b7e2-9abe5820dc6d;customer_3_2@ukr.net;null;00_load_2023-08-13;5
1691957169262;113;00.01.1.getZoo;200;OK;Users_ThreadGroup 1-5;text;true;;15882;151;1;1;https://test-api.k6.io/;113;0;0;T.0.1.Login;null;a84a8874-673b-441d-b7e2-9abe5820dc6d;customer_3_2@ukr.net;3;00_load_2023-08-13;5
1691957169041;332;T.0.1.Login;200;Number of samples in transaction : 2, number of failing samples : 0;Users_ThreadGroup 1-5;;true;;31764;302;1;1;null;332;72;0;T.0.1.Login;null;a84a8874-673b-441d-b7e2-9abe5820dc6d;customer_3_2@ukr.net;3;00_load_2023-08-13;5
1691957182800;134;01.00.0.publicCrocodileList;200;OK;Users_ThreadGroup 1-5;text;true;;812;169;1;1;https://test-api.k6.io/public/crocodiles/;133;0;0;T.01.00.PublicCrocodileList;Navigation;a84a8874-673b-441d-b7e2-9abe5820dc6d;customer_3_2@ukr.net;3;00_load_2023-08-13;5
1691957183064;222;01.00.1.getCart;200;OK;Users_ThreadGroup 1-5;text;true;;15882;151;1;1;https://test-api.k6.io/;222;0;0;T.01.00.PublicCrocodileList;Navigation;a84a8874-673b-441d-b7e2-9abe5820dc6d;customer_3_2@ukr.net;3;00_load_2023-08-13;5
1691957182800;356;T.01.00.PublicCrocodileList;200;Number of samples in transaction : 2, number of failing samples : 0;Users_ThreadGroup 1-5;;true;;16694;320;1;1;null;355;244;0;T.01.00.PublicCrocodileList;Navigation;a84a8874-673b-441d-b7e2-9abe5820dc6d;customer_3_2@ukr.net;3;00_load_2023-08-13;5
1691957188041;438;00.00.0.launch;200;OK;Users_ThreadGroup 1-4;text;true;;15882;151;2;2;https://test-api.k6.io/;438;0;318;T.00.00.Launch;null;6a955d3f-97ee-4db0-b7df-7b9b735a1ca8;customer_1_3@ukr.net;null;00_load_2023-08-13;5
1691957188038;438;T.00.00.Launch;200;Number of samples in transaction : 1, number of failing samples : 0;Users_ThreadGroup 1-4;;true;;15882;151;2;2;null;438;6;318;T.00.00.Launch;null;6a955d3f-97ee-4db0-b7df-7b9b735a1ca8;customer_1_3@ukr.net;null;00_load_2023-08-13;5
1691957189725;234;01.01.0.publicCrocodileView;200;OK;Users_ThreadGroup 1-5;text;true;;498;341;2;2;https://test-api.k6.io/public/crocodiles/8/;112;0;0;T.01.01.PublicCrocodileView;Navigation;a84a8874-673b-441d-b7e2-9abe5820dc6d;customer_3_2@ukr.net;3;00_load_2023-08-13;5
1691957189725;112;01.01.0.publicCrocodileView-0;301;Moved Permanently;Users_ThreadGroup 1-5;text;true;;216;170;2;2;https://test-api.k6.io/public/crocodiles/8;112;0;0;T.01.01.PublicCrocodileView;Navigation;a84a8874-673b-441d-b7e2-9abe5820dc6d;customer_3_2@ukr.net;3;00_load_2023-08-13;5
1691957189840;119;01.01.0.publicCrocodileView-1;200;OK;Users_ThreadGroup 1-5;text;true;;282;171;2;2;https://test-api.k6.io/public/crocodiles/8/;119;0;0;T.01.01.PublicCrocodileView;Navigation;a84a8874-673b-441d-b7e2-9abe5820dc6d;customer_3_2@ukr.net;3;00_load_2023-08-13;5
1691957189961;216;01.00.1.getCart;200;OK;Users_ThreadGroup 1-5;text;true;;15882;151;2;2;https://test-api.k6.io/;112;0;0;T.01.01.PublicCrocodileView;Navigation;a84a8874-673b-441d-b7e2-9abe5820dc6d;customer_3_2@ukr.net;3;00_load_2023-08-13;5
1691957189724;450;T.01.01.PublicCrocodileView;200;Number of samples in transaction : 2, number of failing samples : 0;Users_ThreadGroup 1-5;;true;;16380;492;2;2;null;224;8;0;T.01.01.PublicCrocodileView;Navigation;a84a8874-673b-441d-b7e2-9abe5820dc6d;customer_3_2@ukr.net;3;00_load_2023-08-13;5
1691957191516;222;00.01.0.login;200;OK;Users_ThreadGroup 1-4;text;true;;15882;151;2;2;https://test-api.k6.io/;222;0;0;T.0.1.Login;null;6a955d3f-97ee-4db0-b7df-7b9b735a1ca8;customer_1_3@ukr.net;null;00_load_2023-08-13;5
1691957191742;113;00.01.1.getZoo;200;OK;Users_ThreadGroup 1-4;text;true;;15882;151;2;2;https://test-api.k6.io/;112;0;0;T.0.1.Login;null;6a955d3f-97ee-4db0-b7df-7b9b735a1ca8;customer_1_3@ukr.net;1;00_load_2023-08-13;5
1691957191515;335;T.0.1.Login;200;Number of samples in transaction : 2, number of failing samples : 0;Users_ThreadGroup 1-4;;true;;31764;302;2;2;null;334;9;0;T.0.1.Login;null;6a955d3f-97ee-4db0-b7df-7b9b735a1ca8;customer_1_3@ukr.net;1;00_load_2023-08-13;5
